Y7_CSRID,NAME,CITY,STATE,Y7_STATE2
603015,Cactus Shadows High School,Cave Creek,Arizona,Arizona
603028,Chino Valley HS,Chino Valley,Arizona,Arizona
603040,Desert Heights Academy,Phoenix,Arizona,Arizona
603002,Amphitheater HS,Tucson,Arizona,Arizona
603091,Marana High School,Tucson,Arizona,Arizona
603036,Coyote Canyon Elementary,Bullhead City,Arizona,Arizona
603044,Desert Valley Elem,Bullhead City,Arizona,Arizona
603017,Camp Verde MS,Camp Verde,Arizona,Arizona
603056,Frank Borman Elem,Phoenix,Arizona,Arizona
603139,Starlight Park Elementary,Phoenix,Arizona,Arizona
603022,Catalina Foothills HS,Tucson,Arizona,Arizona
603026,Chandler HS,Chandler,Arizona,Arizona
603113,Perry HS,Gilbert,Arizona,Arizona
603124,Ronald Reagan Elem,Yuma,Arizona,Arizona
603057,Gary A. Knox Elem,Yuma,Arizona,Arizona
603052,Excelencia K-8,Phoenix,Arizona,Arizona
603157,Valley Vista High School,Surprise,Arizona,Arizona
603133,Shadow Ridge High School,Surprise,Arizona,Arizona
603167,Willow Canyon High School,Surprise,Arizona,Arizona
603031,Coconino High School,Flagstaff,Arizona,Arizona
603131,Sechrist Elementary,Flagstaff,Arizona,Arizona
603117,Poston Butte High School,San Tan Valley,Arizona,Arizona
603054,Flowing Wells HS,Tucson,Arizona,Arizona
603055,Fowler Elem,Phoenix,Arizona,Arizona
603140,Sun Canyon Elem,Phoenix,Arizona,Arizona
603160,Western Valley Elementary,Phoenix,Arizona,Arizona
603032,Col. Johnston Elementary,Ft. Huachuca,Arizona,Arizona
603066,Highland High School,Gilbert,Arizona,Arizona
603061,Gilbert High School,Gilbert,Arizona,Arizona
603116,Playa Del Rey Elementary,Gilbert,Arizona,Arizona
603136,Sonoma Ranch Elementary,Gilbert,Arizona,Arizona
603067,Highland Jr. High,Mesa,Arizona,Arizona
603097,Mesquite High School,Gilbert,Arizona,Arizona
603021,Carol Rae Ranch Elementary,Gilbert,Arizona,Arizona
603041,Desert Ridge High School,Mesa,Arizona,Arizona
603118,Quartz Hill Elementary,Gilbert,Arizona,Arizona
603018,Campo Verde HS,Gilbert,Arizona,Arizona
603084,Las Lomas Elementary,Phoenix,Arizona,Arizona
603024,Cerritos Elem,Phoenix,Arizona,Arizona
603079,Kyrene de las Manitas,Tempe,Arizona,Arizona
603078,Kyrene de la Estrella,Phoenix,Arizona,Arizona
603007,Barbara Robey Elementary,Litchfield Park,Arizona,Arizona
603090,Mabel Padgett Elem,Goodyear,Arizona,Arizona
603092,Marana MS,Marana,Arizona,Arizona
603147,Tortolita Middle School,Tuscon,Arizona,Arizona
603101,Mountain View High School,Tucson,Arizona,Arizona
603071,Ironwood Elem,Tucson,Arizona,Arizona
603050,Entz Elementary,Mesa,Arizona,Arizona
603106,Page HS,Page,Arizona,Arizona
603102,North Canyon HS,Phoenix,Arizona,Arizona
603143,Sunset Canyon Elem,Phoenix,Arizona,Arizona
603142,Sunrise Mountain High School,Peoria,Arizona,Arizona
603120,Raymond Kellis HS,Glendale,Arizona,Arizona
603086,Liberty High School,Peoria,Arizona,Arizona
603025,Cesar Chavez HS,Laveen,Arizona,Arizona
603047,Discovery Gardens Preschool,Prescott,Arizona,Arizona
603156,Valley View Elem,Phoenix,Arizona,Arizona
603137,Sopori PreSchool,Amado,Arizona,Arizona
603123,Rio Rico HS,Rio Rico,Arizona,Arizona
603035,Coronado High School,Scottsdale,Arizona,Arizona
603109,Park Meadows Elementary,Glendale,Arizona,Arizona
603043,Desert Sonora Elem,Somerton,Arizona,Arizona
603004,Apollo M.S.,Tucson,Arizona,Arizona
603051,Esperanza Elem,Tucson,Arizona,Arizona
603048,Doolen MS,Tucson,Arizona,Arizona
603165,Whitmore Elementary,Tucson,Arizona,Arizona
603155,Valencia M.S.,Tucson,Arizona,Arizona
603108,Palo Verde H.S.,Tucson,Arizona,Arizona
603075,Johnson Primary,Tucson,Arizona,Arizona
603150,Tsehootsooi MS,Fort Defiance,Arizona,Arizona
603105,Otondo Pres,Yuma,Arizona,Arizona
603077,Kofa HS,Yuma,Arizona,Arizona
603128,San Luis HS,San Luis,Arizona,Arizona
602020,Sulphur Rock Magnet,Sulphur Rock,Arkansas,Arkansas
