Y6_CSRID,NAME,CITY,STATE,PROGRAM
502023,Chaminade College Preparatory,West Hills,California,SoCal
503015,University of Central Arkansas,Conway,Arkansas,AR
503013,Ouachita Baptist University,Arkadelphia,Arkansas,AR
514018,Eastern Illinois University,Charlston,Illinois,IL
514038,Illinois Valley Community College,Oglesby,Illinois,IL
514064,Northwestern University,Evanston,Illinois,IL
514084,Southern Illinois University,Carbondale,Illinois,IL
514085,Southern Illinois University Edwardsville,Edwardsville,Illinois,IL
518061,McNeese State University,Lake Charles,Louisiana,LA
518082,Southeastern Louisiana University,Hammond,Louisiana,LA
521003,Bates College,Lewiston,Maine,ME
521047,University of New England,Biddeford,Maine,ME
521046,University of Maine,Orono,Maine,ME
505003,All Souls School,Englewood,Colorado,CO
527061,University of Nebraska - Omaha,Omaha,Nebraska,NE
532058,Rensselaer Polytechnic Institute,Troy,New York,NY
532074,SUNY New Paltz,New Paltz,New York,NY
532073,SUNY Canton,Canton,New York,NY
525049,Duke University,Durham,North Carolina,NC
513003,Bishop Kelly High School,Boise,Idaho,ID
540021,University of Utah,Salt Lake City,Utah,UT
540022,Utah State University,Logan,Utah,UT
540025,Weber State University,Ogden,Utah,UT
541218,Virginia Commonwealth University,Richmond,Virginia,VA
543134,Seattle University,Seattle,Washington,WA
504078,Little Explorers Early Learning Center,Kingman,Arizona,AZ
537017,LaSalle Academy,Providence,Rhode Island,RI
537003,Bishop Hendricken High School,Warwick,Rhode Island,RI
535010,Hillsboro School District,Hillsboro,Oregon,OR
521030,Madison Elementary School,Madison,Maine,ME
505078,Valley High School,Gilcrest,Colorado,CO
510006,Cherokee High School,Canton,Georgia,GA
511004,Central Middle School,Honolulu,Hawaii,HI
514069,Parkside Elementary School,Normal,Illinois,IL
505020,Fairview Elementary,Denver,Colorado,CO
521015,Fairview Elementary School,Auburn,Maine,ME
503008,Fort Smith Southside,Fort Smith,Arkansas,AR
514035,Hope Academy,Decatur,Illinois,IL
504049,Florence High School,Florence,Arizona,AZ
523060,Skyline High School,Urbana,Missouri,MO
505015,Creekside Elementary School,Centennial,Colorado,CO
504058,Hamilton High School,Chandler,Arizona,AZ
515009,Danville High School,Danville,Indiana,IN
506023,Oxford High School,Oxford,Connecticut,CT
514025,Goshen Elementary School,Edwardsville,Illinois,IL
514044,Lincoln Elementary School,Canton,Illinois,IL
505054,Northridge High School,Greeley,Colorado,CO
503012,Northside High School,Fort Smith,Arkansas,AR
512004,East High School,Sioux City,Iowa,IA
512019,West High School,Sioux City,Iowa,IA
504014,Cactus Shadows High School,Scottsdale,Arizona,AZ
