NCESID,NAME,CITY,STATE,ADDRESS,ZIPCODE,Y12_StateProgramAbbrev,Y12_District,Y12_AddressLine2
450072001702,A L Corbett Middle School,Wagener,SC,20 A L Corbett Circle,29164,SOSC,Aiken County School District,
484365002775,A. Gutierrez Elem.,Laredo,TX,505 Calle Del Norte,78041,SOTX,United ISD,
273009001552,A.I Jedlicka Middle School (Proctor Middle School),Proctor,MN,131 Ninth Ave,55810,SOMN,Proctor Public School District,03PRRCS
260110304637,A.L. Holmes Middle School,Detroit,MI,8950 Crane St.,48211,SOMI,Detroit,
220180001385,Abbeville High School,Abbeville,LA,1305 Wildcat Dr.,70510,SOLA,Vermillion Parish School District,
260282004004,Abbot Elementary,Ann Arbor,MI,2670 Sequoia Pkwy,48103,SOMI,Ann Arbor Public,
460207000003,Aberdeen Central,Aberdeen,SD,2200 S Roosevelt,57401,SOSD,Aberdeen School Dist,
480744000010,Abilene HS,Abilene,TX,2800 N. 6th,79603,SOTX,Abilene ISD,
420201005091,Abington Heights High School,Clarks Summit,PA,222 Noble Rd,18411,SOPA,Lackawanna,
421899003845,Abraham Lincoln,Philadelphia,PA,3201 Ryan Ave,19136,SOPA,Philadelphia,
080336000305,Abraham Lincoln High School,Denver,CO,2285 S. Federal Blvd.,80219,SOCO,Denver Public Schools,
370045000133,AC Reynolds High School,Asheville,NC,1 Rocket Dr,28803,SONC,Buncombe County Schools,
510267003018,Academy for Discovery at Lakewood,Norfolk,VA,1701 Alsace Avenue,23509,SOVA,Norfolk City,
080002000727,Academy North Preschool,Westminster,CO,12161 Park Center Drive,80031,SOCO,Adams 12,
A0502088,Academy of Whole Learning,Minnetonka,MN,3500 Williston Rd,55345,SOMN,Private School,11WLSCS
220087000660,Acadiana High School,Lafayette,LA,315 Rue Du Bellar,70506,SOLA,Lafayette Parish School District,
60165000032,Acalanes High School,Lafayette,CA,1200 Pleasant Hill Road,94549,SONoCal,Contra Costa,
170993006524,Acero Roberto Clemente,Chicago,IL,2050 North Natchez Ave,60707,SOIL,Chicago Public Schools,
080555002004,Achieve Preschool,Thornton,CO,9100 Poze Blvd,80229,SOCO,Mapleton,
080345000436,Acres Green Preschool,Lone Tree,CO,13524 Acres Green Drive,80124,SOCO,Douglas County,
190858000456,Adams Elementary School,Davenport,IA,3029 N. Division St.,52804,SOIA,Davenport Community School District,
317284002211,Adams Elementary-LPS,Lincoln,NE,7401 Jacobs Creek,68512,SONE,Lincoln Public Schools,
60591011574,Adams Middle School,Brentwood,CA,401 American Ave,94513,SONoCal,Brentwood Middle,
263447007009,Adlai Stevenson High School,Sterling Heights,MI,39701 Dodge Park,48313,SOMI,Utica,
173474003632,Adolph Link Elementary School,Elk Grove Village,IL,900 S. West Glenn Trail,60007,SOIL,District 54,
260195003927,Adrian High School,Adrian,MI,785 Riverside Ave,49221,SOMI,City of Adrian,
080555001932,Adventure Preschool,Denver,CO,7700 Delta Street,80221,SOCO,Mapleton,
290291000009,Affton High School,St. Louis,MO,8309 MacKenzie Rd,63123,SOMO,SSD,
040045000001,Agua Fria HS,Avondale,AZ,530 E Riley,85323,SOAZ,Agua Fria UHSD,
051221000986,Ahlf Jr. High School,Searcy,AR,308 W Vine St,72143,SOAR,Searcy School District,
390437504417,Aiken High School,Cincinnati,OH,5641 Belmont Ave,45224,SOOH,Cincinnati,
020018000054,Airport Heights Elementary,Anchorage,AK,1510 Alder Dr.,99508,SOAK,Anchorage School District,
260198003939,Airport High School,Carleton,MI,11330 Grafton Rd,48117,SOMI,Airport Community Schools,
450273000741,Airport High School,West Columbia,SC,1315 Boston Avenue,29170,SOSC,Lexington 2 School District,
181137001836,Akron Elementary School,Akron,IN,PO Box 8,46910,SOIN,Tippecanoe Valley School Corp,
360243000013,Akron High School,Akron,NY,47 Bloomindale Ave,14001,SONY,Akron Central School District,Section 6
170993005075,Al Raby High School,Chicagol,IL,3545 W Fulton Blvd,60624,SOIL,Chicago Public Schools,
